,Date,Open,High,Low,Close,Volume,RSI,Stochastic Oscillator,SMAs,SMAm,MACD,A/D
1240,2024-02-13,2342.42,2349.62,2289.79,2300.09,24884186.0,53.06158063959823,57.99721835883173,2292.697857142857,2285.9246,7.03381150115009,-45815357.42998554
1241,2024-02-14,2300.62,2347.65,2298.55,2347.65,14410447.0,59.88198316987445,83.43853642880067,2302.802857142857,2287.158,7.274319042790072,-31404910.429985538
1242,2024-02-15,2353.78,2362.07,2330.0,2345.75,17725942.0,59.50996199719565,80.80495356037144,2311.537142857143,2288.4522,6.7904138175876625,-31719964.59088366
1243,2024-02-16,2346.91,2390.06,2346.91,2371.05,13966277.0,62.82209662021538,89.27019247050869,2322.8142857142857,2289.8976,7.598191545047268,-30059547.4179982
1244,2024-02-19,2365.54,2394.8,2365.54,2387.94,9809872.0,64.88709793770218,95.74441687344905,2333.6792857142855,2291.4602,8.619201711720788,-24849519.70507959
1245,2024-02-20,2387.08,2428.85,2380.27,2423.18,18284494.0,68.78307581263559,96.73387096774191,2343.9164285714287,2294.147,10.871748027086728,-10833164.07395573
1246,2024-02-21,2426.86,2443.12,2410.03,2411.43,16256065.0,66.14764981646492,79.3321593947694,2351.442142857143,2296.2545999999998,10.754544205950982,-25713678.091786236
1247,2024-02-22,2432.3,2455.05,2432.3,2447.32,21722463.0,69.93666747017063,95.3225220864093,2358.3621428571428,2298.9346,12.17393264952706,-18752941.596401654
1248,2024-02-23,2453.29,2494.74,2451.11,2476.82,19900731.0,72.6467355969596,91.25640400097603,2368.8692857142855,2302.5978,14.04647894140863,-15199728.337405331
1249,2024-02-26,2477.45,2483.49,2462.85,2464.05,13754739.0,69.71695523044113,85.02561600390358,2378.285714285714,2305.9126,13.375306406234088,-27355079.081591003
1250,2024-02-27,2465.94,2489.6,2450.18,2457.83,18036437.0,68.27267961165705,81.99072944620644,2386.1800000000003,2308.818,11.532484832797273,-38391072.497116044
1251,2024-02-28,2458.24,2458.24,2408.94,2412.0,18781940.0,58.6342324971714,59.62917784825574,2392.8307142857147,2310.649,6.4977975632562135,-54841461.32470228
1252,2024-02-29,2413.96,2446.47,2412.88,2418.1,55290322.0,59.45470725001717,62.60551353988781,2400.5957142857146,2312.321,3.025678825241826,-92947175.95107967
1253,2024-03-01,2430.39,2441.0,2404.79,2424.7,18030139.0,60.370591331908706,65.82581117345693,2406.279285714286,2313.7236000000003,0.7399746702907635,-91149639.30954434
1254,2024-03-04,2433.2,2444.21,2394.05,2398.38,17997591.0,55.0318282980125,50.884346806667075,2413.2999999999997,2314.7608,-2.784851464749657,-106039990.71504678
1255,2024-03-05,2390.39,2390.39,2363.32,2367.74,19233303.0,49.53952385676955,22.908826028893913,2414.735,2315.1422000000002,-7.170903108516562,-118992451.508915
1256,2024-03-06,2369.06,2382.38,2359.61,2371.37,14489024.0,50.17397682582237,16.546032605019313,2416.5649999999996,2315.6356,-9.663454863928948,-118515210.92920515
1257,2024-03-07,2361.05,2361.05,2318.18,2336.23,16997867.0,44.35945379130719,10.223153602175005,2414.077857142857,2314.9346,-13.290719748604843,-121199502.03230752
1258,2024-03-08,2337.02,2353.91,2308.05,2351.65,20401587.0,47.24839401859563,23.35422357919546,2411.4857142857145,2314.8412,-14.182140299266134,-102808712.52990872
1259,2024-03-11,2348.14,2370.39,2340.36,2370.39,13265697.0,50.604997781408386,33.392254539611024,2407.715,2315.3892,-13.067858274842884,-89543015.52990872
1260,2024-03-12,2374.4,2428.05,2364.45,2425.09,22585522.0,58.83807978057577,62.69216347956517,2408.690714285714,2317.8228,-8.43018575500906,-69059793.69091502
1261,2024-03-13,2423.09,2435.83,2398.1,2408.31,20086275.0,55.76730206935731,53.70400128555358,2405.904285714286,2320.0866,-6.369707300049093,-78275097.69966134
1262,2024-03-14,2410.55,2426.94,2398.55,2412.33,25018417.0,56.35498531938182,57.438722115119745,2401.297857142857,2322.6886,-4.6906525829902606,-79006527.29141934
1263,2024-03-15,2411.5,2422.1,2310.02,2350.97,72844908.0,46.25343836128969,23.640870283668235,2393.220714285714,2324.2162,-7.500393612557904,-98621617.61476001
1264,2024-03-18,2352.61,2375.89,2330.69,2350.87,17958198.0,46.238891734564056,28.510553299154285,2385.5807142857143,2325.6364,-9.049768586352187,-100544575.09971583
1265,2024-03-19,2352.6,2359.36,2297.85,2335.74,19423586.0,43.98493370314454,25.494549858699973,2380.1335714285715,2326.5872,-10.666502971380181,-96038404.19709854
1266,2024-03-20,2342.47,2350.76,2314.6,2341.35,15804240.0,45.054431023012015,29.721235310194015,2374.651428571429,2327.9978,-10.892815576949044,-88459711.67497484
1267,2024-03-21,2369.05,2409.74,2369.05,2409.74,20376550.0,56.066827478509595,76.44848319212885,2373.5828571428574,2331.2684,-6.2044752027886805,-68083161.67497484
1268,2024-03-22,2405.34,2415.75,2374.23,2377.69,16101913.0,50.91657565682654,57.86345847224245,2372.105,2333.8505999999998,-5.077201002935551,-81501422.50830814
