Date,Open,High,Low,Close,Volume,RSI,Stochastic Oscillator,SMAs,SMAm,MACD,A/D,Target,TargetClass,TargetNextClose
2019-10-17,2160.43,2181.94,2154.17,2173.75,17705640.0,55.55780004821229,86.62749287749291,2139.188571428572,2139.0527999999995,3.788961980712397,-134547694.48021403,-2.4400000000000546,0,2164.75
2019-10-18,2167.19,2168.49,2149.61,2164.75,18868273.0,53.15462159472538,83.70461655133187,2138.578571428571,2139.1702,4.059652820575113,-123154775.40182392,18.429999999999836,1,2183.25
2019-10-21,2164.82,2184.64,2160.39,2183.25,16187834.0,57.24825312074115,98.71522321841218,2140.775,2140.283,5.235008584335789,-108822701.3407928,28.15000000000009,1,2212.15
2019-10-22,2184.0,2212.19,2177.25,2212.15,19247868.0,62.72772493568325,99.97053189921913,2148.908571428572,2142.3314,7.567548765010635,-89618904.0173812,1.650000000000091,1,2208.54
2019-10-23,2206.89,2209.58,2198.75,2208.54,13809112.0,61.664526627872206,96.69832654907276,2156.7114285714283,2143.6984,8.411153884103697,-78461957.57232112,2.180000000000291,1,2208.36
2019-10-24,2206.18,2216.33,2195.82,2208.36,19413477.0,61.60845475750449,92.49670495198662,2162.94,2146.2978,8.477024043519327,-74136282.78490014,-31.409999999999854,0,2175.27
2019-10-25,2206.68,2206.68,2172.44,2175.27,19871079.0,52.20970978479356,59.92582471208283,2166.7542857142857,2148.5208,5.932411806077452,-90722598.14179271,36.5,1,2211.8
2019-10-28,2175.3,2215.02,2175.3,2211.8,17157695.0,59.54674509166068,95.5787624438808,2172.4664285714284,2150.7122,6.314457142468949,-76346765.07029207,17.389999999999873,1,2227.93
2019-10-29,2210.54,2228.28,2203.17,2227.93,26631371.0,62.29908584429153,99.69408268507966,2179.1492857142857,2153.0686,7.194575032534575,-50457805.84647763,0.36000000000012733,1,2227.38
2019-10-30,2227.02,2230.72,2219.18,2227.38,17684847.0,62.14382579439734,96.8208642680376,2186.6057142857144,2155.4986,7.259861391560594,-43009941.33867775,-41.57999999999993,0,2194.1
2019-10-31,2235.68,2236.95,2188.99,2194.1,26160384.0,53.46169915013698,54.22986541337325,2189.047857142857,2157.2196000000004,4.7057058846381,-63595698.055942,55.44999999999982,1,2264.06
2019-11-04,2208.61,2264.06,2208.61,2264.06,30023628.0,64.64422005632832,100.0,2197.3,2160.4272,7.221438372333459,-33572070.055942,8.849999999999909,1,2272.45
2019-11-05,2263.6,2279.64,2257.69,2272.45,23389924.0,65.70839695537965,94.4705068061216,2205.703571428572,2163.908,8.837286900896235,-25505476.676443383,-12.609999999999673,0,2255.34
2019-11-06,2267.95,2269.98,2255.34,2255.34,17542217.0,61.6341482547575,81.31200492194127,2212.795,2167.1058,8.156907755796741,-43047693.67644338,11.389999999999873,1,2272.17
2019-11-07,2260.78,2277.18,2260.78,2272.17,26649994.0,63.9987756876914,94.25517188341166,2219.825,2171.5204,8.220344456450949,-32680196.01058932,-14.050000000000182,0,2255.46
2019-11-08,2269.51,2269.51,2252.85,2255.46,31730968.0,60.04192635050843,79.72327044025171,2226.304285714286,2175.2430000000004,6.587484790178351,-54469047.98657941,-10.940000000000055,0,2248.81
2019-11-12,2259.75,2266.23,2245.4,2248.81,26636582.0,58.49202386203712,71.24067164179107,2230.9871428571428,2177.5142,4.604008113373592,-72384483.11956103,-14.550000000000182,0,2235.52
2019-11-13,2250.07,2250.31,2228.03,2235.52,33577800.0,55.41342723946543,58.84328358208958,2232.6564285714285,2179.335,2.0705058583508134,-83386185.99209285,-9.519999999999982,0,2226.15
2019-11-14,2235.67,2245.84,2223.56,2226.15,22560490.0,53.28404975055534,50.10261194029863,2233.914285714286,2181.7148,-0.4294852582166335,-100701463.32602438,7.880000000000109,1,2233.87
2019-11-15,2225.99,2238.11,2225.77,2233.87,13701198.0,54.824346790335774,57.30410447761189,2235.736428571429,2184.3376,-1.6857958186254578,-96415675.29685138,-9.449999999999818,0,2229.92
2019-11-18,2239.37,2244.64,2220.25,2229.92,18060604.0,53.84607877504376,52.34809277362474,2239.64,2186.7982,-2.8376434920794797,-100155160.74990574,-22.90000000000009,0,2207.25
2019-11-19,2230.15,2232.47,2201.64,2207.25,21477461.0,48.49745062304253,20.143408714837506,2239.315,2188.4912000000004,-5.0518331965437255,-113816302.82613,-9.829999999999927,0,2194.58
2019-11-20,2204.41,2204.41,2175.68,2194.58,20561742.0,45.76155885946908,18.18006925740677,2236.9328571428573,2188.8946,-7.166116034064999,-107325004.5337526,-12.659999999999854,0,2179.53
2019-11-21,2192.19,2192.19,2164.04,2179.53,20451018.0,42.68146541227866,13.39965397923897,2233.515,2188.7292,-9.242497994762015,-105269005.21083936,8.799999999999727,1,2188.24
2019-11-22,2179.44,2198.56,2176.33,2188.24,18022561.0,44.98915676725385,20.934256055363186,2233.0964285714285,2188.7098,-9.648903831887,-103979942.14336322,5.75,1,2197.54
2019-11-25,2191.79,2204.09,2191.79,2197.54,16689797.0,47.42318919884411,28.979238754325284,2228.3450000000003,2188.8792000000003,-8.927652296776914,-105065457.39539598,-9.110000000000127,0,2190.58
2019-11-26,2199.69,2199.69,2177.73,2190.58,60977882.0,45.79027892359348,23.4576630722998,2222.497142857143,2188.6718,-8.554743452598144,-94680335.41543303,-10.840000000000146,0,2181.33
2019-11-27,2192.17,2196.5,2175.07,2181.33,17171821.0,43.63962867727594,15.281951564433433,2217.210714285714,2187.9416,-8.546362015757596,-101819902.61608665,-9.239999999999782,0,2169.09
2019-11-28,2178.33,2178.33,2159.9,2169.09,12147615.0,40.902053938533456,8.384271508074121,2209.8478571428573,2187.4692,-8.938234591565278,-101852858.70669958,-5.779999999999745,0,2158.94
2019-11-29,2164.72,2170.47,2154.94,2158.94,14547586.0,38.73221934622592,3.594213316560339,2202.953571428572,2186.5476,-9.406685058297946,-108906517.59787782,-41.179999999999836,0,2122.3
2019-12-02,2163.48,2168.85,2121.16,2122.3,25649378.0,32.11009655899966,0.8826945412313795,2193.917142857143,2185.1614,-11.567666292463656,-133329630.51421212,-33.04999999999973,0,2089.92
2019-12-03,2122.97,2123.47,2088.77,2089.92,21505028.0,27.6164513400619,0.7321576367225375,2183.517142857143,2183.5248,-14.377982515497044,-153409253.20009097,-11.360000000000127,0,2081.89
2019-12-04,2093.25,2113.13,2078.1,2081.89,24257697.0,26.62147518835241,2.2757295544613694,2173.212857142857,2182.2162,-15.861237465124596,-172417925.271173,4.119999999999891,1,2092.12
2019-12-05,2088.0,2103.69,2078.98,2092.12,22123687.0,30.0777249734343,8.418397982466665,2163.087857142857,2180.5538,-15.233499932717184,-171012251.9166609,-14.710000000000036,0,2073.11
2019-12-06,2087.82,2088.62,2055.68,2073.11,42639852.0,27.48681822594368,9.859154929577633,2151.887142857143,2178.8224,-15.146848510287567,-168526868.9221247,-6.869999999999891,0,2066.55
2019-12-09,2073.42,2073.42,2051.04,2066.55,17670932.0,26.63420333181614,10.112799113255676,2141.837142857143,2176.704,-14.574829143583894,-161704846.91676256,-12.319999999999709,0,2054.11
2019-12-10,2066.43,2070.22,2040.78,2054.11,18788888.0,25.047505770517603,8.16239054558823,2131.803571428572,2174.06,-14.070605632412851,-163479069.35697967,-8.830000000000155,0,2047.34
2019-12-11,2056.17,2064.5,2034.48,2047.34,23865513.0,24.202485017565365,7.582100112021632,2122.361428571429,2171.541,-13.241391569438498,-166897513.92393515,45.840000000000146,1,2102.19
2019-12-12,2056.35,2102.19,2055.54,2102.19,28647605.0,41.44005972285296,39.92099522433818,2116.215,2170.5348,-8.28932424180946,-138249908.92393515,-5.7599999999997635,0,2106.51
2019-12-13,2112.27,2123.34,2103.58,2106.51,27117185.0,42.54825480300124,43.599055747230906,2109.712857142857,2170.6994,-4.218541419055306,-157325256.67191017,5.539999999999964,1,2112.93
2019-12-16,2107.39,2120.23,2104.16,2112.93,22019873.0,44.23712666912504,48.41994815454871,2104.1664285714287,2170.972,-0.7698958096228843,-155310993.24253896,16.38000000000011,1,2132.25
2019-12-17,2115.87,2139.47,2114.19,2132.25,32730028.0,49.08749498909709,67.96663190823777,2100.660714285714,2171.1938,2.9330251573694994,-141276440.096969,-5.849999999999909,0,2131.85
2019-12-18,2137.7,2137.7,2112.21,2131.85,30289630.0,48.992479032985706,71.60085300389738,2098.0007142857144,2171.3934,5.33603846836326,-124889857.2134852,1.1899999999995998,1,2133.72
2019-12-19,2132.53,2134.36,2123.81,2133.72,21895451.0,49.48476151227476,73.85577137753953,2096.199285714286,2171.4312,6.931029101246853,-105650915.90827323,-3.5700000000001637,0,2128.04
2019-12-20,2131.61,2138.37,2123.99,2128.04,57317354.0,47.97034810790685,89.11324888084593,2096.6092857142858,2171.3046,7.438334149771077,-130682416.82065034,13.829999999999927,1,2142.54
2019-12-23,2128.71,2142.91,2124.87,2142.54,15089151.0,52.00814826473424,99.65876602416316,2100.367857142857,2171.6956,8.508192164757645,-116212222.1255282,5.9699999999998,1,2151.74
